Rank,data name,Ticker,id,Key Person,USP / notes,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
244,Sora,XOR,sora,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
245,NEST Protocol,NEST,nest,Noah,no documentation on token,,,,,,,,,,,,,,,,,,,,,
246,Badger DAO,BADGER,badger-dao,Noah,yield smart contract platform. had governance rights but took them away??? see documentation,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
247,Maro,MARO,ttc-protocol,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
248,Hifi Finance,MFT,mainframe,Noah,borrow & lending protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
249,Carry,CRE,carry,Noah,commerce payment wallet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
250,COTI,COTI,coti,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
251,Loom Network,LOOM,loom-network,Noah,Alt L1 network Sidechain,,,,,,,,,,,,,,,,,,,,,
252,Lambda,LAMB,lambda,Noah,Alt L1 network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
253,DREP,DREP,drep-new,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
254,RedFOX Labs,RFOX,redfox-labs-2,Noah,open world game not on Ethereum,,,,,,,,,,,,,,,,,,,,,
255,PAID Network,PAID,paid-network,Noah,dapp stack platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
256,SuperFarm,SUPER,superfarm,Noah,dapp stack plarform,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
257,PIBBLE,PIB,pibble,Noah,asian full stack provider. say they have governance but they don't. looks shady,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
258,Atari Token,ATRI,atari,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
259,Ethernity Chain,ERN,ethernity-chain,Noah,nft marketplace on sidechain (polygon?) has governance,,,,,,,,,,,,,,,,,,,,,
260,AMO Coin,AMO,amo,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
261,BioPassport Token,BIOT,biopassport,Noah,centralized digital passport startup,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
262,DerivaDAO,DDX,derivadao,Noah,derivatives DEX they have governance but no product yet...,,,,,,,,,,,,,,,,,,,,,
263,12Ships,TSHP,12ships,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
264,Refereum,RFR,refereum,Noah,paying people who view twitch streams tokens and them needing to pay them tokens,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
265,Thunder Token,TT,thunder-token,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
266,Akropolis,AKRO,akropolis,Noah,DeFi dapp,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
267,Endor Protocol,EDR,endor,Noah,-,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
268,MovieBloc,MBL,moviebloc,Noah,movie streaming platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
269,district0x,DNT,district0x,Noah,holding company - not yet DAO,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
270,WHALE,WHALE,whale,Noah,Vault holding NFTs,EEP22NT03,Ownership Token,,,,,,,,,,,,,,,,,,,
271,Function X,FX,fx-coin,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
272,Alchemix,ALCX,alchemix,Max,lending protocol (What sets Alchemix apart from other lending protocols is that the protocol enables loans to pay for themselves automatically),EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
273,Coin98,C98,coin98,Max,"swap, stake, lend, borrow, earn",,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
274,Yield Guild Games,YGG,yield-guild-games,Max,gaming guild,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
275,Illuvium,ILV,illuvium,Max,gaming platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
276,Rari Governance Token,RGT,rari-governance-token,Max,"lending, borrowing & yield",EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
277,PEAKDEFI,PEAK,marketpeak,Max,web3 wallet,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
278,Bifrost (BFC),BFC,bifrost,Max,cross-chain protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
279,Alchemy Pay,ACH,alchemy-pay,Max,payment platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
280,Adventure Gold,AGLD,adventure-gold,Max,nft gaming platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
281,IDEX,IDEX,aurora-dao,Max,decentralised trading platform,EEP22NT03,Ownership Token,,,,,,,,,,,,,,,,,,,
282,PlayDapp,PLA,playdapp,Max,web3 gaming and data platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
283,AllianceBlock,ALBT,allianceblock,Max,tokenization of assets,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
284,ApeSwap Finance,BANANA,apeswap-finance,Max,financial services & products,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
285,Automata Network,ATA,automata,Max,decentralized middleware service protocol,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
286,Verasity,VRA,verasity,Max,advertising platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
287,Radicle,RAD,radicle,Max,code collaboration platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
288,CEEK VR,CEEK,ceek,Max,content creator platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
289,Dusk Network,DUSK,dusk-network,Max,Layer 1; aims to bridge real world finance with DeFi,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
290,Dvision Network,DVI,dvision-network,Max,nft gaming platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
291,Phantasma,SOUL,phantasma,Max,gaming platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
292,Spell Token,SPELL,spell-token,Max,lending & borrowing,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
293,UFO Gaming,UFO,ufo-gaming,Max,gaming platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
294,Radio Caca,RACA,radio-caca,Max,gaming platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
295,Boba Network,BOBA,boba-network,Max,multichain L2,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
296,MetisDAO,METIS,metis-token,Max,layer 2,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
297,Starlink,STARL,starlink,Max,nft gaming platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
298,OpenDAO,SOS,opendao,Max,"bridge, DEX, lending",EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
299,Veritaseum,VERI,veritaseum,Max,research network with different services,EEP22NT01,Access Token,,,,,,,,,,,,,,,,,,,
300,Vulcan Forged PYR,PYR,vulcan-forged,Max,nft gaming platform,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
301,RMRK,RMRK,rmrk,Max,NFT platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
302,Braintrust,BTRST,braintrust,Max,job finding platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
303,Wilder World,WILD,wilder-world,Max,metaverse platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
304,HyperDAO,HDAO,hyperdao,Max,social DAO,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
305,Qredo,QRDO,qredo,Max,custody protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
306,Humanscape,HUM,humanscape,Max,not found,,,,,,,,,,,,,,,,,,,,,
307,Circuits of Value,COVAL,circuits-of-value,Max,nft marketplace,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
308,MX TOKEN,MX,mx-token,Max,"financial products, options, futures, etc., CEX coin",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
309,Merit Circle,MC,merit-circle,Max,"L1 gaming blockchain, focused on gaming, Avalanche subnet",,Governance Token,,,,,,,,,,,,,,,,,,,
310,Wrapped NCG (Nine Chronicles Gold),WNCG,wrapped-ncg,Max,web3 game,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
311,ConstitutionDAO,PEOPLE,constitutiondao,Max,project that tried to buy the US Constitution from the Sothebys auction,EEP22NT03,Ownership Token,,,,,,,,,,,,,,,,,,,
312,MXC,MXC,mxc,Max,decentralised IOT network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
313,Chainbing,CBG,chainbing,Max,Decentralized Data Centers,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
314,ICHI,ICHI,ichi-farm,Max,Market Making on Uniswap V3,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
315,VVS Finance,VVS,vvs-finance,Max,"various financial services, swap, yield farming etc.",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
316,Aurora,AURORA,aurora-near,Max,sidechain,,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
317,Beta Finance,BETA,beta-finance,Max,"lending, borrowing",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
318,Maple,MPL,maple,Max,"institutional lending platform; On Maple, credit professionals manage fast-flowing lending businesses where capital is syndicated and lent to institutional borrowers to fund business growth and operations. Maple is the only on-chain marketplace focused exclusively on serving Institutional and Individual Accredited Investors with high-quality lending opportunities which suit their liquidity, risk and return requirements.",EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
319,API3,API3,api3,Max,"decentralised APIs. dAPIs are API3's first-party price reference data feeds that allow dApps on 10 networks (and counting) to connect to real-time asset price data, including crypto and forex prices.",EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
320,1eco,1ECO,1eco,Max,"1eco's ecosystem will closely connect with reality in order to encourage green energy production, reduce harmful emissions, induce the use of smart e-mobility, provide small business owners and brands with solutions to promote and manage their customers equally and economically, and collect various healthcare data to be used to enhance human life.",EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
321,Wirex Token,WXT,wirex,Max,web3 neo bank,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
322,Threshold,T,threshold-network-token,Max,L1 bridge between bitcoin & DeFi,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
323,LooksRare,LOOKS,looksrare,Max,nft marketplace,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
324,AVINOC,AVINOC,avinoc,Max,AVINOC is a THINK THANK and a tokenization company dedicated to integrating new technologies in aviation. It’s driving change and transformation throughout the entire industry.,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
325,Project Galaxy,GAL,project-galaxy,Max,"Galxe aims to build a permissionless, open, and collaborative credential data network",EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
326,DEAPcoin,DEP,deapcoin,Max,nft gaming platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
327,XSGD,XSGD,xsgd,Max,singapore dollar pegged stablecoin,EEP21PP01ZZZ,Other Fiat-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
328,Liquity,LQTY,liquity,Max,"lending borrowing; Liquity's secondary token, LQTY, is not a governance token. Instead, it is used to capture 100% of the revenue generated by the Liquity protocol. This revenue is distributed to all stakers of LQTY.",EEP22NT03,Ownership Token,,,,,,,,,,,,,,,,,,,
329,Locus Chain,LOCUS,locus-chain,Max,Alt L1 network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
330,Propy,PRO,propy,Max,real estate platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
331,Origin Dollar,OUSD,origin-dollar,Max,stablecoin,EEP21PP01USD,USD-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
332,STP,STPT,stp-network,Max,dao management platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
333,Terran Coin,TRR,terran-coin,Max,nft marketplace,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
334,Ribbon Finance,RBN,ribbon-finance,Max,"derivatives, options, lending",EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
335,DeXe,DEXE,dexe,Max,dao management platform,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
336,HI,HI,hi-dollar,Max,"neobank, credit card",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
337,Axelar,AXL,axelar,Max,cross-chain communication,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
338,Hashflow,HFT,hashflow,Max,DEX,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
339,Ethereum,ETH,ethereum,Max,"Ethereum is a global, open-source platform for decentralized applications.",EEP22TU01,Settlement Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51UT,Utility Token,EMO91,Reward,EMS82IF,Inflationary,TCM71PW,Proof of Work,RTA72,New Asset Token,N
340,Binance Coin,BNB,binancecoin,Max,The native token of the Binance cryptocurrency exchange.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,Y
341,Binance USD,BUSD,binance-usd,Marlene,Highly regulated 1:1 USD-backed crypto stablecoin.,EEP21PP01USD,USD-Pegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS42BN01,Binance BEP-2 Standard Token,LLC32,Relative Rights Token,LIT61PV,Private Sector Legal Entity,REU51EM12,Non-Authorized Significant E-Money Token,EMO92,Sale,EMS82DC,Discretionary,Depends on the ledger,Depends on the ledger,RTA71,Conventional Asset Tokens,Y
342,Bitcoin Cash,BCH,bitcoin-cash,Albert,Cheaper and faster version of Bitcoin.,EEP21UP,Unpegged Payment Token,EIN06PS,Payment Services and Infrastructure,TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT62DL,Distributed Ledger Protocol,REU51ZZ,Other In-Scope Crypto Asset,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
343,Polygon,MATIC,matic-network,Nick,Ethereum's Internet of Blockchains.,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
344,Crypto.com Coin,CRO,crypto-com-chain,Aavneet,Buy crypto at true cost.,EEP22TU02,Settlement and Access Token,EIN06EX,"Exchange, Trading and Settlement",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,N
345,Holo,HOT,holotoken,Albert,"Holochain delivers the promises of blockchain with a mashup of proven tech that provides self-owned data, a distributed database, and peer accountability.",EEP22TU01,Settlement Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM73GP02,Other DAG,RTA72,New Asset Token,Y
346,Fantom,FTM,fantom,Albert,DAG-based smart contract platform for DeFi services,EEP22TU03,Settlement and Governance Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS41DG,DAG-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,Y
347,Ankr,ANKR,ankr,Marlene,Web 3.0 infrastructure - Blockchain nodes & APIs,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof of Work,RTA72,New Asset Token,Y
348,SKALE Network,SKL,skale,Albert,,EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ET99,Other Ethereum Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
349,Storj,STORJ,storj,Nick,Decentralized cloud data storage that aims to be more efficient than centrelized cloud computing,EEP22TU01,Settlement Token,EIN05DA05,"Other Software, Data Storage and Processing",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
350,Stratis,STRAX,stratis,Prashant,,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
351,Prometeus,PROM,prometeus,Jan,Celebrities can create their own coin which then shall gives followers a means for interaction with their favourite celebrities.,EEP22TU02,Settlement and Access Token,EIN05DA03,Media and Social Media,TTS42BN02,Binance BEP-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,Y
352,Fetch.ai,FET,fetch-ai,Aavneet,"Building an open access, tokenized, decentralized machine learning network to enable smart infrastructure built around a decentralized digital economy.",EEP22TU03,Settlement and Governance Token,EIN05DA01,"Artificial Intelligence (AI), Predictive Analytics, and Big Data",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,N
353,Band Protocol,BAND,band-protocol,Prashant,Band Protocol is a cross-chain data oracle platform that aggregates and connects real-world data and APIs to smart contracts.,EEP22TU03,Settlement and Governance Token,EIN05MS,"Decentralized Data, Oracles and Infrastructure",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,Y
354,Reef,REEF,reef,Marlene,"Blockchain for DeFi, NFT & Gaming",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,Depends on the ledger,Depends on the ledger,RTA72,New Asset Token,Y
355,Uquid Coin,UQC,uquid-coin,Magda,UQC is a decentralized virtual currency based on the ERC20 Token,EEP22TU02,Settlement and Access Token,EEP22TU02,Other Decentralized Finance (DeFi),EIN06DF05,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS80,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
356,Cartesi,CTSI,cartesi,Jan,Cartesi offers a bridge between standard programming and blockchain,EEP22TU02,Settlement and Access Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
357,Serum,SRM,serum,Albert,DEX & DeFi ecosystem build on Solana,EEP22TU03,Settlement and Governance Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT62AL,Application Layer Protocol,REU51UT,Utility Token,EMO92,Sale,EMS82DF,Deflationary,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,Y
358,NKN,NKN,nkn,Aavneet,"NKN, or New Kind of Network, is an open-source protocol for public blockchain-based peer-to-peer Networks to share network bandwidth and Internet connectivity.",EEP22TU03,Settlement and Governance Token,EIN05DA02,"Internet of Things (IoT), Smart Infrastructures, and Connectivity",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
359,Celer Network,CELR,celer-network,Albert,"layer-2 scaling platform that brings fast, secure and low-cost blockchain applications on Ethereum, Polkadot and other blockchains to mass adoption",EEP22TU02,Settlement and Access Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,Y
360,Divi,DIVI,divi,Nick,Divi wants to make crypto mass adopted by providing a user friendly interface called divi app to exchange and stake tokens,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Reward,EMS82IF,Inflationary,TCM72DS,Proof of Stake,RTA72,New Asset Token,N
361,Mirror Protocol,MIR,mirror-protocol,Marlene,Enabling the creation of synthetic assets,EEP22TU03,Settlement and Governance Token,EIN06DF03,"Decentralized Derivatives, Syntethic Assets and Insuarance",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Fixed,TCM73BF03,Other BFT (Tendermint),RTA72,New Asset Token,Y
362,Clover Finance,CLV,clover-finance,Nick,Cross chain interoperability,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72ZZ,Other Hybrid,RTA72,New Asset Token,Y
363,Audius,AUDIO,audius,Albert,Solana-based decentralized music streaming protocol,EEP22TU03,Settlement and Governance Token,EIN08AC,Arts and Culture,TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,Y
364,CENNZnet,CENNZ,centrality,Natalie,CENNZnet is a New Zealand built public blockchain and Application platform that puts great user experience first.,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
365,Render Token,RNDR,render-token,Natalie,"RNDR is a distributed GPU rendering network built on top of the Ethereum blockchain, aiming to connect artists and studios in need of GPU compute power with mining partners willing to rent their GPU capabilities out.",EEP22TU03,Settlement and Governance Token,EIN01,Agriculture and Mining,,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
366,Polymath,POLY,polymath,Nick,"Polymath is the first decentrelized network, specialized for security tokenization.",EEP22TU03,Settlement and Governance Token,EIN06BS,"Banking, Custody and Financing Services",,,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
367,Everipedia,IQ,everipedia,Marlene,The Blockchain Encyclopedia,EEP22TU02,Settlement and Access Token,EIN09,"Public Administration, Education, Healthcare and Social Assistance",TTS42EO,EOS Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO93,Airdrop,EMS81,Fixed,TCM72DS,Delegated Proof of Stake,RTA72,New Asset Token,Y
268,aelf,ELF,aelf,Magda,"aelf is the most advanced and secure blockchain cloud infrastructure with segregate, unlimitedly scalable cloud computing networks, leading the decentralized future.",EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,"
TCM72DS",Delegated Proof of Stake,RTA72,New Asset Token,Y
369,Elitium,EUM,elitium,Magda,"The platform offers a basket of products, including decentralized finance (DeFi) savings plans, cryptocurrency staking, Bitcoin and Ethereum cloud mining services, and a dedicated NFT marketplace.",EEP22TU01,Settlement Token,EIN06DF04,"Decentralized Data, Oracles and Infrastructure",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
370,BORA,BORA,bora,Albert,,EEP22TU01,Settlement Token,EIN08ES,"Entertainment, Sports and Gaming",TTS42ZZ,Other Application Layer Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF03,Other BFT,RTA72,New Asset Token,N
371,Velas,VLX,velas,Magda,Valas Finance stock is currently PancakeSwap (V2).,EEP22TU02,Settlement and Access Token,EIN06DF01,"Decentralized Exchanges, Markets and Market Making",TTS42BN02,Binance BEP-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Inflationary,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
372,XinFin Network,XDC,xdce-crowd-sale,Marlene,Enterprise Blockchain For Global Trade and Finance,EEP22TU03,Settlement and Governance Token,EIN05DA03,"Cloud Computing, Distributed Systems, and Decentralized Applications",TTS41BC,Blockchain-Native Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS82IF,Fixed,TCM71ZZ,Other Proof based,RTA72,New Asset Token,N
